CLNT_ID,CLNT_NAME,CLNT_NAME_MASKED,AD_NAME,AD_FIRST_NAME,STATUS_SIMF,CORR_ADDR,PHONE,FAX,SERVICE,SUBSERVICE,TRANS_TYPE,FREQ,FREQ_PAIR,NUM_STATION,ERP_PWR_DBM,EQ_PWR,GAIN,LOSS,BWIDTH,IB,IP,HDDP,HDLP,ZONA,STN_TYPE,EQUIP_TYPE,BHP,EQ_MFR,TX_EQP_ID,CONFIG_PLZN_CODE,EQ_MDL,ANT_MFR,ANT_MDL,HGT_ANT,AZIM,ELEV_ANGLE,MASTER_PLZN_CODE,EMIS_CLASS_1,STN_NAME,STN_ADDR,CALLSIGN,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,AREA_OF_SERVICE,MAX_COV_RADIUS,H_ASL,NUM_SETS,CURR_LIC_NUM,APPL_DATE,LICENCE_DATE,VALIDITY_DATE,UMUR_ISR,VILLAGE,CITY,DISTRICT,PROVINCE,SV_ID,SS_ID,TO_APPL_ID,TO_CLNT_ID,LINK_ID,MASA_LAKU,ARCHIV_DATE,TO_SITE_ID,STASIUN_LAWAN,RECEV_TYPE,TO_CALLSIGN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND,COST_CAT,AP_REQUEST_TYPE,TGL_QUERY
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,7747.7,8059.02,,63,1,37,1,29650,.06,.29,35745,3873,Z4,1,,3771564,ERICSSON,E1453597,H,ERICSSON ML-8TN,ERICSSON,"UKY 210 40/DC12, 7/8 GHZ HIGH PERFORMANCE 1.2M",55,252.04,.02,V,G7WJN,BLS304_PERANCAH,PERANCAH KEC BANTAN KAB BENGKALIS SUMBAR,,102.23255,1.5096,12.36,1,30,34.5600000000002,N,102,13,57.1800000000121,E,"PERANCAH KEC BANTAN KAB BENGKALIS SUMBAR, BENGKALIS, BANTAN, RIAU",,100,1,01903614-000SU/2620162021,19-OCT-16,28-OCT-16,27-OCT-26,8,,BENGKALIS,BANTAN,RIAU,2,200,020069102016,00105553,10031633,27-OCT-25,,0002,BLS519_SENGGORO,Receiver,,1,28,31.1519999999999,N,102,7,36.4800000000105,E,,N,15-JUL-25
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,8059.02,7747.7,,63,1,37,1,29650,.06,.29,35745,3873,Z4,1,,3771564,ERICSSON,E1453597,H,ERICSSON ML-8TN,ERICSSON,"UKY 210 40/DC12, 7/8 GHZ HIGH PERFORMANCE 1.2M",69,72.03,-.11,V,G7WJN,BLS519_SENGGORO,JL. BANTAN RT04/05 KEL SENGGORO KEC BENGKALIS KAB BENGKALIS,,102.1268,1.47532,12.36,1,28,31.1519999999999,N,102,7,36.4800000000105,E,"JL. BANTAN RT04/05 KEL SENGGORO KEC BENGKALIS KAB BENGKALIS, BENGKALIS, BENGKALIS, RIAU",,100,1,01903613-000SU/2620162021,19-OCT-16,28-OCT-16,27-OCT-26,8,,BENGKALIS,BENGKALIS,RIAU,2,200,020069102016,00105553,10031633,27-OCT-25,,0001,BLS304_PERANCAH,Receiver,,1,30,34.5600000000002,N,102,13,57.1800000000121,E,,N,15-JUL-25
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,7156,7317,,67,1,41,1,28000,.06,.29,35745,3873,Z4,1,,3600582,ERICSSON,E1453595,V,ERICSSON ML-7TN,ERICSSON RADIO SYSTEM AB,UKY 210 50/SC11_V,60,54.09,-.1,V,G7WJN,TBH016_PULAI ESTATE,"PULAI ESTATE,DESA TANJUNG SIMPANG,KEC. PELANGIRAN,KAB. INDRAGIRI HILIR",,103.16446,.21155,31.35,0,12,41.58,N,103,9,52.0560000000194,E,"PULAI ESTATE,DESA TANJUNG SIMPANG,KEC. PELANGIRAN,KAB. INDRAGIRI HILIR, INDRAGIRI HILIR, PELANGIRAN, RIAU",,100,1,01915743-000SU/2620162021,09-DEC-16,16-DEC-16,15-DEC-26,8,,INDRAGIRI HILIR,PELANGIRAN,RIAU,2,200,027158122016,00105553,10150606,15-DEC-25,,0002,TBH064_MANUNGGAL JAYA,Receiver,,0,22,37.488,N,103,23,35.0519999999801,E,,N,15-JUL-25
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,7317,7156,,67,1,41,1,28000,.06,.29,35745,3873,Z4,1,,3600582,ERICSSON,E1453595,V,ERICSSON ML-7TN,ERICSSON RADIO SYSTEM AB,UKY 210 50/SC11_V,65,234.09,-.11,V,G7WJN,TBH064_MANUNGGAL JAYA,JL. JALUR 5 RT.05 RW.03 DESA MANUNGGAL JAYA KEC. PULAU BURUNG KAB. INDRAGIRI HILIR,,103.39307,.37708,31.35,0,22,37.488,N,103,23,35.0519999999801,E,"JL. JALUR 5 RT.05 RW.03 DESA MANUNGGAL JAYA KEC. PULAU BURUNG KAB. INDRAGIRI HILIR, INDRAGIRI HILIR, PULAU BURUNG, RIAU",,100,1,01915742-000SU/2620162021,09-DEC-16,16-DEC-16,15-DEC-26,8,,INDRAGIRI HILIR,PULAU BURUNG,RIAU,2,200,027158122016,00105553,10150606,15-DEC-25,,0001,TBH016_PULAI ESTATE,Receiver,,0,12,41.58,N,103,9,52.0560000000194,E,,N,15-JUL-25
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,14837,15327,,67.41844,1.5200000000000016,36.6,1,28000,.06,.29,53618,5809,Z4,1,TR,5403712,ERICSSON,E1466723,V,MINI-LINK CN 210/CN510-15 GHZ,ERICSSON RADIO SYSTEM AB,UKY 210 76/SC15_V,35,20.25,-.01,V,G7WJN,BKG074_PERUM RAWA BANGUN,JL. MASA KARYA RT 01 RW 02 DESA TARAI BANGUN KECAMATAN TAMBAN KABUPATEN KAMPAR PROPINSI RIAU,,101.3793,.434245,1.76,0,26,3.28200000000002,N,101,22,45.4800000000023,E,"JL. MASA KARYA RT 01 RW 02 DESA TARAI BANGUN KECAMATAN TAMBAN KABUPATEN KAMPAR PROPINSI RIAU, KOTA PEKANBARU, TAMPAN, RIAU",,100,1,01915744-000SU/2620162021,09-DEC-16,16-DEC-16,15-DEC-26,8,,KAMPAR,TAMBANG,RIAU,2,200,027159122016,00105553,10150608,15-DEC-25,,0001,PBR885_KARYA PESONA,Receiver,,0,26,56.9183999999998,N,101,23,5.26559999997971,E,,N,15-JUL-25
909,"INDOSAT TBK, PT.",C,.,RESKI,Granted,JALAN MEDAN MERDEKA BARAT NO. 21 RT/RW -GAMBIR KOTA ADM. JAKARTA PUSAT DKI JAKARTA 10110,021-30003001,021-30001385,Fixed Service,PP,Transmitter,22078,23086,,53.34243,.089999999999999011,35.3,1,28000,.06,.29,53618,5809,Z3,1,,5294276,HUAWEI,E1453909,V,23G_XMC2_128Q_28M_157M,HUAWEI,A23S03HAC_V,25,314.68,-.41,V,G7WJN,040498_KAHARUDIN NASUTION - SIMPANG TIGA,"JL. KAHARUDIN NASUTION RT.01/RW.06, KEL. SIMPANG TIGA KEC. BUKIT RAYA, PEKANBARU, RIAU & KEPULAUAN RIAU",,101.45378,.45845,.98,0,27,30.42,N,101,27,13.607999999981,E,"JL. KAHARUDIN NASUTION RT.01/RW.06, KEL. SIMPANG TIGA KEC. BUKIT RAYA, PEKANBARU, RIAU & KEPULAUAN RIAU, KOTA PEKANBARU, BUKIT RAYA, RIAU",,50,1,01909040-000SU/2620162021,11-NOV-16,21-NOV-16,20-NOV-26,8,,KOTA PEKANBARU,BUKIT RAYA,RIAU,2,200,023842112016,909,10085883,20-NOV-25,,0001,045056_SULTAN SYARIF QASIM II (AIRPORT ),Receiver,,0,27,52.776,N,101,26,51.0000000000184,E,,N,15-JUL-25
909,"INDOSAT TBK, PT.",C,.,RESKI,Granted,JALAN MEDAN MERDEKA BARAT NO. 21 RT/RW -GAMBIR KOTA ADM. JAKARTA PUSAT DKI JAKARTA 10110,021-30003001,021-30001385,Fixed Service,PP,Transmitter,23086,22078,,53.34243,.089999999999999011,35.3,1,28000,.06,.29,53618,5809,Z3,1,,5294276,HUAWEI,E1453909,V,23G_XMC2_128Q_28M_157M,HUAWEI,A23S03HAC_V,18,134.68,.41,V,G7WJN,045056_SULTAN SYARIF QASIM II (AIRPORT ),"SUKAJADI, INDONESIA",,101.4475,.46466,.98,0,27,52.776,N,101,26,51.0000000000184,E,"SUKAJADI, INDONESIA, KOTA PEKANBARU, MARPOYAN DAMAI, RIAU",,50,1,01909041-000SU/2620162021,11-NOV-16,21-NOV-16,20-NOV-26,8,,KOTA PEKANBARU,MARPOYAN DAMAI,RIAU,2,200,023842112016,909,10085883,20-NOV-25,,0002,040498_KAHARUDIN NASUTION - SIMPANG TIGA,Receiver,,0,27,30.42,N,101,27,13.607999999981,E,,N,15-JUL-25
00105553,TELEKOMUNIKASI INDONESIA TBK,A,.,,Granted,JL. GATOT SUBROTO KAV. 52 GRAHA MERAH PUTIH LT. 3MAMPANG PRAPATAN KOTA ADM. JAKARTA SELATAN DKI JAKARTA 12790,021-5215445,021-5215457,Fixed Service,PP,Transmitter,15327,14837,,67.41844,1.5200000000000016,36.6,1,28000,.06,.29,53618,5809,Z3,1,TR,5403712,ERICSSON,E1466723,V,MINI-LINK CN 210/CN510-15 GHZ,ERICSSON RADIO SYSTEM AB,UKY 210 76/SC15_V,35,200.25,-.01,V,G7WJN,PBR885_KARYA PESONA,PBR885_KARYA PESONA KECAMATAN TAMBAN KABUPATEN KAMPAR PROPINSI RIAU,,101.384796,.449144,1.76,0,26,56.9183999999998,N,101,23,5.26559999997971,E,"PBR885_KARYA PESONA KECAMATAN TAMBAN KABUPATEN KAMPAR PROPINSI RIAU, KOTA PEKANBARU, TAMPAN, RIAU",,100,1,01915745-000SU/2620162021,09-DEC-16,16-DEC-16,15-DEC-26,8,,KOTA PEKANBARU,TAMPAN,RIAU,2,200,027159122016,00105553,10150608,15-DEC-25,,0002,BKG074_PERUM RAWA BANGUN,Receiver,,0,26,3.28200000000002,N,101,22,45.4800000000023,E,,N,15-JUL-25
